,hc_specificity,dev_peak,aging_decline,conservation,gwas,sgn_specificity,score,TPS_FINAL
TMC3,0.0017052053481563846,0.8928273656894673,0.9663583747737936,0.5,0.0,0.47145683,0.3705447835993327,0.4183221569584094
TREM2,0.0,0.889793979035375,0.8842380941695513,0.5,0.0,0.53809077,0.3677798900642401,0.4182126639325078
FAHD1,0.0,0.9835088865967154,0.7686197637249128,0.5,0.0,0.53104585,0.3634417896114903,0.41820391187808004
XIRP2,0.3834871342794233,0.6177579889278936,0.3057477514026854,0.5,0.0,0.6684764,0.2597153700763657,0.41815518077980857
AVPI1,0.0,0.985270171879326,0.932846715548756,0.5,0.0,0.40236726,0.3689780242581922,0.4174544937081786
CBLN3,0.0,0.7936870721040963,0.9108251413919844,0.5,0.0,0.60969007,0.3680921558311112,0.4172991996296169
MYLPF,2.3033300505882227e-05,0.8938788984968424,0.94469536670957,0.5,0.0,0.48390502,0.3693361124264502,0.41726799869595577
CHAD,0.0,0.9756517859566828,0.9034196062704896,0.5,0.0,0.4322647,0.3676391392145527,0.41709623813191
KCNJ10,0.0,0.7197569207534276,0.3173153682808577,0.5,1.0,0.37741032,0.3831070929436443,0.41703075339281415
GPR61,0.011842458039706707,0.9380554225199168,0.9095715666752636,0.5,0.0,0.44650808,0.3650674486035102,0.4169011729171849
MBLAC1,0.006151042866791144,0.7868787676847045,0.9797670811665722,0.5,0.0,0.55315495,0.3689592248296203,0.41681711857196413
SDR16C5,0.0,0.8391894293697176,0.7644540926320407,0.5,0.0,0.6687043,0.3618049801990071,0.41624685976874964
WAS,0.0,0.8821876168373703,0.9194854777588372,0.5,0.0,0.5079456,0.3673924625701124,0.41594946503129965
MYLK2,0.0035951907497534024,0.6943622523806503,0.8650444756808728,0.5,0.0,0.7307144,0.3644569138727785,0.415850559053187
FOXP3,0.0,0.8778810486304548,0.9340637872862532,0.5,0.0,0.500648,0.3678558021089845,0.415815377819029
ACTL6B,0.0,0.9124122896530836,0.7314395051140744,0.5,0.0,0.61632544,0.3599637739564244,0.4154634716977279
PSD,0.00028053605228920016,0.8986154185629138,0.8842766001413334,0.5,0.0,0.5147068,0.3655097411883751,0.4153900945494695
ZMYND15,0.0,0.8965645576151674,0.908596206273902,0.5,0.0,0.49817768,0.3664433022430909,0.4152378784641188
TMEM253,0.0,0.96280893136185,0.925478457916108,0.5,0.0,0.41630244,0.3666399108546905,0.4146440429597862
GLRX5,0.0005161326300736088,0.9607989856220216,0.7363017116227053,0.5,0.0,0.55904484,0.3593720490879115,0.4145688616568322
CCDC60,0.2982542446174823,0.7965862818246485,0.3123172402552449,0.5,0.0,0.593411,0.2762707472031983,0.41432331578846116
HSD17B6,0.0,0.731618108450254,0.8114889112558055,0.5,0.0,0.7309751,0.3620727130837901,0.41424197837842164
HAPLN4,0.0004926489960337398,0.8252556468232688,0.8178684822596229,0.5,0.0,0.63003623,0.3660686976923278,0.41388644240240735
ANXA13,0.14177048311917487,0.8101774903532889,0.9482411418577356,0.5,0.0,0.3351615,0.3349663546597539,0.4138351142850706
JAK3,0.0,0.9999999999999998,0.8765190610182213,0.5,0.0,0.40743685,0.3635347325477556,0.41296522915273315
HSH2D,0.14994444899795437,0.9210067737805072,0.7782262276057371,0.5,0.0,0.3351615,0.3260803154228386,0.41295092359634833
TRBV24OR9-2,1.0,0.0,0.3057480633490281,0.5,0.0,0.3351615,0.1170757717560561,0.4128945095023542
TMPRSS3,0.04022174606370421,0.5475183100491399,0.305748427286425,0.5,1.0,0.4763781,0.3703570730422413,0.412708069921903
CHST10,0.06610129951766153,0.9931084645688928,0.6954269075833376,0.5,0.0,0.4481735,0.3414081871696922,0.41240081890657765
DIO3OS,0.0,0.999656463390794,0.9695604092426064,0.5,0.0,0.3351615,0.3666032281756231,0.41239765406454976
GDF9,0.0,0.9858715546335198,0.9872923364494676,0.5,0.0,0.3351615,0.3672009616277873,0.41230046139412413
WDR63,0.10195134702919238,0.7516626491293784,0.7786804408509435,0.5,0.0,0.5727065,0.3366212450573407,0.4122613000622749
LRTM2,0.16792953616424453,0.7927945007061421,0.8212152846306847,0.5,0.0,0.40058625,0.3231195399122328,0.4122373036851045
HIST1H4H,0.0,0.9503895300364972,0.9833110571845184,0.5,0.0,0.37202728,0.3667967554732901,0.41198002058497724
PRDM8,0.0,0.982171908472614,0.9576150546940536,0.5,0.0,0.35882533,0.365736486092745,0.41184170589863084
PPP1R27,0.20115662923400804,0.616789545199607,0.923002809180809,0.5,0.0,0.4483324,0.3191563830246298,0.41182179918724515
RXFP1,0.00012963602181796167,1.0,0.9596981804355486,0.5,0.0,0.33883536,0.3657427427470436,0.41176068987187764
CLIC3,0.0017582085128697127,0.9656004763197484,0.912491454225798,0.5,0.0,0.40485963,0.3633878406474871,0.41149320195168027
PSD4,0.0,0.9675030854019424,0.8887511452400959,0.5,0.0,0.42039442,0.3624401068775934,0.4108921728664029
HTR1A,0.0,0.8108567487464151,0.7353256100472385,0.5,0.0,0.69175875,0.3566439778006924,0.41082194125636884
STK32C,0.0,0.932708228170794,0.4926667216239308,0.5,0.0,0.75149155,0.3474900984521458,0.4107399638777484
CRIP3,0.178334529534588,0.788565830424858,0.9224229527070829,0.5,0.0,0.30502823,0.3233289295919809,0.41058261385141037
DNAAF3,0.1668888126320954,0.7999741626750795,0.8887615891406301,0.5,0.0,0.3351615,0.3245120633018493,0.410408014695739
SLC47A2,0.0,0.9825290826208872,0.9087818034413366,0.5,0.0,0.38524207,0.3624213084299038,0.40987150104037795
CDK5R1,0.0,0.9585324936270588,0.8363310313669035,0.5,0.0,0.462628,0.3595639537263107,0.4096817534304473
SPAG8,0.23969331074955347,0.9014864024471712,0.6646879678453917,0.5,0.0,0.28864324,0.3284402893627224,0.40963711689110904
MS4A2,0.0,0.9605612820906254,0.3057480893445566,0.5,0.0,0.8581513,0.339631135823237,0.4096047298198086
SLC26A5,0.0,0.934020072992524,0.3273942101969946,0.5,1.0,0.11738269,0.3778062553000852,0.409389684128054
CASQ1,2.8147475019290538e-05,0.9060508775349086,0.8203708243153288,0.5,0.0,0.5251012,0.3586921133930458,0.40929448339678687
RAB37,0.0,0.8793938447911858,0.9181669234538348,0.5,0.0,0.47767097,0.3622394925526004,0.4091380014763124
COX7A1,0.0094998064258879,0.8355560778289362,0.9666439428391947,0.5,0.0,0.47028077,0.3618193182201385,0.40901390291943285
B3GALT4,0.0,0.9366811101629038,0.8828957461154955,0.5,0.0,0.446129,0.3608354600360065,0.4089963839499051
ADRA1A,0.10651240473690393,0.931099184883198,0.7918560017799027,0.5,0.0,0.35990876,0.3333383697627152,0.4089337106646962
CABYR,0.0,0.6941824112910399,0.9534028734319716,0.5,0.0,0.6351111,0.3632654967504413,0.40886913327300367
HAVCR2,0.0,0.9656422715754224,0.9492908801629236,0.5,0.0,0.36665586,0.3632059858120489,0.408853258339523
ADAM8,0.0,0.9083489436255496,0.8357992542817071,0.5,0.0,0.50878596,0.3588784177067411,0.408796868867366
NDUFA4L2,0.058224100798357804,0.939681844726678,0.9090657767953132,0.5,0.0,0.3351615,0.3485170092487231,0.4087957657041399
KCND1,0.0014839178252433322,0.9273767223073044,0.8498229223307893,0.5,0.0,0.47602177,0.358941666653274,0.4085983121586523
TEKT2,0.2201936704629245,0.8030392933400602,0.8460788659135161,0.5,0.0,0.27465287,0.340875824254265,0.40850836369391685
CFI,0.0,0.5648283257224439,0.9496377092417256,0.5,0.0,0.7654556,0.363359158350075,0.40850244153074766
WNT16,0.0012388124188819265,0.9199090561752424,0.8243032209411283,0.5,0.0,0.5020985,0.3578973986031828,0.40841863810188234
CEACAM16,0.0,0.7795878591554357,0.3057476474205748,0.5,1.0,0.28186336,0.376043167920405,0.4081523909441733
CCDC116,0.001041541925918645,0.8996826140039842,0.8200019705838624,0.5,0.0,0.522167,0.3572376965166092,0.40768268096615184
OLR1,0.0,0.8670143380609776,0.8534326777911366,0.5,0.0,0.5311925,0.3587059438746606,0.40765626928086607
CES4A,0.0,0.979660645951983,0.9640780788630392,0.5,0.0,0.3351615,0.363253340413571,0.40757614101985246
TTC16,0.08618739427084557,0.8057981712691015,0.8708559694548337,0.5,0.0,0.44962564,0.3398791408763932,0.407569375953299
LINGO3,4.3853469970322115e-07,0.9960162794301316,0.832717425225344,0.5,0.0,0.41576907,0.3576245117067465,0.4072648152302379
CASR,0.0,0.9914434506940668,0.9458978484350252,0.5,0.0,0.3351615,0.3618364797981874,0.40720566740406716
TBX1,0.0,0.7768419215715172,0.305748271313256,0.5,1.0,0.27982143,0.3753602545725683,0.4071949110112918
GPR18,0.0,0.923845734942451,0.9062282155178067,0.5,0.0,0.43223205,0.3602495028928618,0.4071497893161612
SPATA17,0.11653958846600727,0.7323091510914923,0.4426227423999224,0.5,0.0,0.7964314,0.3166164491444982,0.40710339811808904
KLK14,0.0,0.8604570876345643,0.7239151864630041,0.5,0.0,0.6320527,0.3552621551633557,0.4070892354963635
MPO,0.0,0.9491571670992536,0.7932045951621158,0.5,0.0,0.49105617,0.3559794964322209,0.4070233566941681
LYPD3,0.00044937509493726553,0.743680962830275,0.8377471791929886,0.5,0.0,0.6620994,0.3574811834183564,0.4069529619734845
BPIFA1,0.0,0.9852376956864802,0.825890126477808,0.5,0.0,0.427407,0.3567330325090769,0.40641245810896726
SLC45A2,0.0,0.95166660801837,0.7545077962673848,0.5,0.0,0.51448154,0.3827774233224771,0.4064057990437817
S1PR2,0.0,0.6042478079726804,0.3925251625367162,0.5,1.0,0.38298136,0.3778827384015709,0.40632460797504355
TUBA8,0.0,0.962943079134535,0.9309008086919216,0.5,0.0,0.369446,0.3603650556127168,0.40611293713069524
CTSE,0.0,0.8633781427213391,0.9014217338992726,0.5,0.0,0.490642,0.3592690928790826,0.4060172886291587
NR5A2,0.0,0.9793002839091572,0.953429058179618,0.5,0.0,0.3351615,0.3610960067785231,0.40590671550877416
PSMD10,0.0009219528343408441,0.7427001829318194,0.9441383488820904,0.5,0.0,0.57712233,0.3605676245100165,0.4058618407689797
UCMA,0.08648775888365119,0.8781865552767254,0.8100864100503861,0.5,0.0,0.4134721,0.3362067761291766,0.40579102022799834
NTRK1,0.0,0.9995603599596732,0.925472285035328,0.5,0.0,0.3351615,0.3600144442953042,0.4057652147472338
RHOV,0.0,0.6391656060868556,0.8110179120745028,0.5,0.0,0.7810591,0.3556770482717236,0.40569762802854653
MYL4,0.0002548252876079026,0.786023561222147,0.8432679344219184,0.5,0.0,0.6090722,0.3567030945829784,0.4055857899939995
AMPD1,0.0,0.852505143621705,0.8786399086776309,0.5,0.0,0.5157244,0.3808703846954779,0.40544189502598565
