Gene,Rank,TPS_Score,HC_Specificity,Dev_Peak,In_Top20,In_Top100
ATOH1,18,0.5038171121532952,0.22431866708660164,0.8481833865845586,YES,YES
GFI1,12,0.512610284704743,0.4152536653092721,0.524126068330659,YES,YES
POU4F3,2,0.6361194549237889,0.3135212666092382,0.7799231962842647,YES,YES
TMC1,33,0.4795376772995309,0.22955702382456386,0.6765786213026965,NO,YES
SLC26A5,183,0.409389684128054,0.0,0.934020072992524,NO,NO
OTOF,1,0.6538100071773653,0.5038432135709388,0.6909162799649899,YES,YES
MYO7A,15,0.5088240154893189,0.376285419065022,0.5250407413372904,YES,YES
GJB2,100,0.4294234210067208,0.0003527769881726409,0.6514430420395741,NO,YES
